R packages	Command line softwares
PathfindR	Pasta
Pbkrtest	Pbh5tools
PcaPP	Phylip
Pdftools	Phylobayes
Permute	Picard
Pheatmap	Pilon
Plogr	Plink
Plotly	PopLDdecay
Plotrix	Prank
Plyr	ProtHint
Polyclip	Psmc
Polynom	Purge_haplotigs
Prabclus	Pysam
Progress	Qualimap
Progressr	Quast
Proxy	Reapr
PubChemR	RECON
Quadprog	RepeatMasker
Quanteda	RepeatModeler
Quantreg	RepeatScout-1
Questionr	Rmblast
Qvalue	RnaQUAST
Ragg	RSEM
Rainbow	Sailfish
RandomcoloR	Salmon
Rappdirs	Samtools
Rcmdcheck	Scipy
RColorBrewer	Seg
Rcpp	Sepp
RcppArmadillo	Seqkit
RcppEigen	SeqMonk
RcppTOML	Seqtk
RCurl	Share
Reactable	Signalp
Reactablefmtr	Snap
ReactR	SnpEff
Recipes	SNPGenie
Rematch	SNPhylo
Remotes	SOAPdenovo
Rentrez	SPADE
Reprex	SPAdes
Reshape2	Spaln
Reticulate	Speedseq
Rex	Sratoolkit
RJava	Stairway-Plot
Rjson	RAxML
RJSONIO	STAR
Rlang	Stringtie
Rmarkdown	Supernova
Robustbase	Svtools
RSQLite	Tcoffee
Rstatix	TEanalysis
Rstudioapi	TFBS
Rsvg	TGICL
Rtsne	Tophat
Rversions	Transabyss-2.0.1
Rvest	TransDecoder
Sass	TransposonPSI
Scales	Transrate
Scatterpie	Treemix
Scatterplot3d	TreeTrimmer
Segmented	Trimmomatic
Selectr	Trinity
Seqinr	UQlust
Sessioninfo	Vcftools
Shadowtext	Vdb-NCBI
Shape	Velvet
Shiny	
Slam	
Snow	
SnowballC	
Sourcetools	
Sp	
Spam	
Sparkline	
SparseArray	
SparseM	
Spatial	
Stats	
Stats4	
Stopwords	
StreamR	
Stringdist	
Stringi	
Stringr	
Tensorflow	
Textshaping	
Tfautograph	
Tfruns	
Tibble	
Tidygraph	
Tidypmc	
Tidyr	
Tidyrules	
Tidyselect	
Tidytable	
Tidytext	
Tidytree	
Tidyverse	
Tinytex	
Tippy	
Tm	
Tokenizers	
Tools	
Topicmodels	
Treeio	
UpSetR	
Vegan	
VennDiagram	
Venneuler	
Viridis	
ViridisLite	
Vroom	
Waldo	
Webshot	
Whisker	
Wordcloud	
